,Date,Kangwon_sales,Kangwon_sales_prices,Kyonggi_sales,Kyonggi_sales_prices,Kyongsang_sales,Kyongsang_sales_prices,Seoul_sales,Seoul_sales_prices,Jeonla_sales,Jeonla_sales_prices,Chungcheong_sales,Chuncheong_sales_prices
0,1/1/2015,6,"1,155,600",36,"7,892,000",27,"2,396,900",6,"1,819,000",8,"853,000",9,"7,822,700"
1,1/2/2015,14,"3,796,400",34,"5,422,100",31,"5,788,500",19,"2,235,300",16,"1,556,300",21,"2,281,400"
2,1/3/2015,16,"1,526,900",51,"6,285,400",35,"3,256,300",39,"5,895,100",16,"1,460,400",18,"1,940,100"
3,1/4/2015,3,"177,000",34,"3,592,500",45,"8,682,800",7,"702,200",13,"857,200",17,"1,144,400"
4,1/5/2015,27,"4,990,000",37,"3,752,100",21,"3,456,200",6,"1,420,400",30,"2,796,000",33,"2,401,900"
5,1/6/2015,24,"2,646,900",32,"2,630,300",24,"4,030,500",13,"1,163,000",29,"2,187,400",36,"4,421,300"
6,1/7/2015,26,"6,085,000",79,"8,791,800",49,"8,909,000",13,"2,639,400",13,"952,400",27,"2,032,200"
7,1/8/2015,9,"918,600",52,"7,292,300",43,"4,316,700",9,"1,426,500",5,"465,500",17,"2,640,000"
8,1/9/2015,18,"2,189,500",73,"6,421,000",33,"3,765,900",9,"698,500",8,"311,000",21,"1,931,900"
9,1/10/2015,15,"1,821,000",50,"5,963,000",23,"3,647,400",46,"6,703,600",19,"1,590,500",29,"3,330,500"
10,1/11/2015,5,"782,500",23,"1,963,200",31,"4,658,600",6,"1,338,700",4,"592,500",39,"3,873,700"
11,1/12/2015,26,"1,955,200",50,"8,759,700",18,"2,503,300",27,"1,655,500",16,"976,500",20,"2,218,500"
12,1/13/2015,27,"7,698,400",66,"10,095,900",27,"5,161,000",31,"1,312,500",23,"7,476,900",16,"2,007,000"
13,1/14/2015,19,"2,816,500",64,"6,038,300",23,"2,083,550",7,"1,738,000",11,"799,200",34,"7,745,200"
14,1/15/2015,16,"2,345,200",43,"6,687,500",26,"4,870,000",12,"2,756,000",13,"2,061,200",54,"8,874,600"
15,1/16/2015,21,"2,467,000",32,"5,335,800",107,"7,943,300",6,"998,000",4,"529,000",18,"2,320,500"
16,1/17/2015,29,"4,398,700",67,"11,036,600",64,"10,112,700",18,"1,445,500",22,"2,698,300",27,"5,199,500"
17,1/18/2015,4,"430,000",67,"16,257,000",36,"3,210,400",9,"2,465,000",11,"526,400",26,"3,751,000"
18,1/19/2015,12,"1,097,200",76,"10,527,300",30,"3,256,800",8,"449,000",7,"416,000",14,"2,302,500"
19,1/20/2015,4,"347,000",35,"4,005,400",34,"5,380,100",6,"483,600",12,"2,440,900",27,"2,235,400"
20,1/21/2015,22,"2,920,000",73,"13,044,600",29,"5,244,800",34,"7,939,400",15,"1,642,500",22,"2,897,600"
21,1/22/2015,10,"1,135,000",41,"8,190,600",18,"1,952,200",6,"331,000",10,"1,422,700",18,"1,786,200"
22,1/23/2015,28,"3,351,000",50,"7,272,000",36,"2,775,700",8,"698,500",16,"1,235,000",23,"3,641,700"
23,1/24/2015,9,"605,500",50,"6,901,100",35,"6,133,500",25,"3,854,200",5,"673,500",11,"711,000"
24,1/25/2015,5,"507,700",28,"5,413,100",18,"2,501,500",8,"1,854,200",1,"57,000",15,"1,526,700"
25,1/26/2015,11,"923,200",49,"6,059,800",21,"4,801,200",2,"140,500",19,"2,769,000",14,"1,948,700"
26,1/27/2015,13,"775,500",42,"5,536,400",34,"3,163,100",6,"799,000",22,"4,002,900",14,"7,019,000"
27,1/28/2015,11,"2,440,700",47,"4,936,200",50,"3,988,900",15,"3,035,500",11,"1,183,400",29,"4,064,700"
28,1/29/2015,17,"3,041,800",57,"6,265,400",41,"3,207,900",6,"798,400",8,"781,900",51,"4,971,200"
29,1/30/2015,16,"1,572,800",43,"7,485,700",39,"3,295,500",18,"2,890,900",9,"1,268,200",19,"3,436,500"
30,1/31/2015,16,"2,499,500",159,"19,857,400",22,"1,604,100",22,"4,711,500",23,"1,755,000",27,"3,818,200"
31,2/1/2015,15,"1,083,000",45,"5,892,000",52,"6,025,600",13,"1,489,200",17,"1,875,000",21,"2,626,000"
32,2/2/2015,11,"3,227,200",40,"5,999,500",33,"2,026,500",8,"1,317,500",6,"482,500",10,"711,000"
33,2/3/2015,11,"1,642,000",59,"10,439,800",41,"4,179,400",10,"470,000",12,"913,000",17,"1,768,800"
34,2/4/2015,14,"1,650,100",46,"7,163,700",44,"6,918,800",67,"6,754,100",6,"382,700",10,"1,141,200"
35,2/5/2015,10,"1,813,200",52,"5,468,800",23,"3,721,700",46,"2,335,500",9,"615,700",21,"1,401,700"
36,2/6/2015,15,"1,309,700",33,"3,603,500",17,"2,680,000",40,"3,945,200",11,"987,700",15,"1,695,700"
37,2/7/2015,8,"1,125,700",39,"5,184,400",25,"2,788,200",16,"2,692,100",9,"501,200",28,"2,009,200"
38,2/8/2015,0,0,23,"2,905,000",20,"2,228,500",4,"193,000",6,"320,000",15,"758,000"
39,2/9/2015,25,"4,082,800",69,"8,407,600",48,"4,637,800",15,"2,347,300",5,"307,700",16,"1,557,800"
40,2/10/2015,14,"1,803,700",56,"5,590,200",26,"2,013,100",8,"878,200",21,"2,436,000",28,"2,594,600"
41,2/11/2015,15,"1,527,400",67,"9,742,000",50,"5,062,000",14,"2,254,200",25,"2,299,700",22,"3,032,900"
42,2/12/2015,13,"1,639,500",37,"3,129,300",25,"2,178,600",14,"2,038,000",18,"1,925,900",17,"1,573,600"
43,2/13/2015,5,"556,300",53,"7,582,000",19,"4,178,800",7,"1,104,400",17,"2,113,600",13,"2,338,600"
44,2/14/2015,27,"3,613,100",41,"7,327,700",34,"3,766,200",18,"1,562,200",17,"1,408,500",29,"3,789,100"
45,2/15/2015,5,"587,600",49,"5,344,100",36,"2,820,100",16,"2,515,300",9,"1,215,600",12,"1,131,300"
46,2/16/2015,15,"2,516,300",40,"4,503,600",18,"1,823,300",11,"1,471,500",10,"682,200",13,"1,228,900"
47,2/17/2015,12,"1,061,600",55,"8,960,900",25,"2,654,300",15,"1,686,900",12,"1,138,300",21,"2,299,100"
48,2/18/2015,0,0,28,"4,670,800",10,"643,800",5,"652,800",9,"892,100",7,"331,000"
49,2/19/2015,0,0,4,"672,200",2,"431,000",3,"115,500",6,"683,200",0,0
50,2/20/2015,2,"427,500",67,"7,848,900",9,"950,700",11,"1,608,000",12,"1,302,800",10,"833,100"
51,2/21/2015,4,"745,500",41,"6,458,300",29,"3,612,300",14,"1,120,800",11,"1,205,500",30,"2,371,700"
